alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
0.04,993.35,-0.862,0.479,9.754,0.031,0.023,-0.055,36.70
0.02,993.35,-0.781,0.402,9.754,0.031,0.024,-0.055,36.69
0.06,993.35,-0.838,0.441,9.749,0.034,0.023,-0.055,36.71
0.00,993.36,-0.838,0.479,9.754,0.032,0.022,-0.058,36.69
-0.02,993.36,-0.848,0.436,9.754,0.033,0.023,-0.055,36.70
-0.02,993.36,-0.819,0.436,9.759,0.032,0.022,-0.055,36.71
-0.01,993.36,-0.833,0.450,9.749,0.032,0.023,-0.056,36.70
0.00,993.36,-0.848,0.464,9.735,0.031,0.024,-0.056,36.72
0.05,993.35,-0.838,0.474,9.749,0.032,0.021,-0.056,36.70
0.04,993.35,-0.833,0.474,9.730,0.034,0.021,-0.055,36.71
0.01,993.36,-0.857,0.474,9.725,0.030,0.023,-0.058,36.68
0.04,993.35,-0.833,0.431,9.792,0.032,0.023,-0.055,36.68
-0.02,993.36,-0.824,0.460,9.816,0.033,0.024,-0.057,36.68
-0.00,993.36,-0.800,0.455,9.701,0.033,0.023,-0.055,36.68
-0.01,993.36,-0.871,0.441,9.749,0.033,0.023,-0.059,36.69
0.03,993.35,-0.804,0.479,9.797,0.031,0.022,-0.055,36.69
0.01,993.35,-0.804,0.474,9.807,0.031,0.021,-0.058,36.71
0.04,993.35,-0.857,0.455,9.749,0.031,0.021,-0.056,36.69
0.01,993.36,-0.819,0.431,9.797,0.032,0.021,-0.056,36.70
0.01,993.36,-0.804,0.464,9.740,0.030,0.022,-0.056,36.69
0.02,993.35,-0.819,0.445,9.754,0.030,0.022,-0.054,36.70
0.07,993.35,-0.824,0.436,9.778,0.031,0.022,-0.056,36.71
-0.00,993.36,-0.862,0.469,9.716,0.033,0.023,-0.056,36.69
-0.00,993.36,-0.828,0.460,9.797,0.031,0.023,-0.056,36.71
0.02,993.35,-0.814,0.455,9.773,0.032,0.022,-0.054,36.67
0.04,993.35,-0.833,0.460,9.754,0.033,0.023,-0.057,36.68
0.01,993.35,-0.819,0.455,9.740,0.032,0.022,-0.056,36.68
0.02,993.35,-0.819,0.474,9.759,0.033,0.022,-0.056,36.71
0.01,993.36,-0.804,0.479,9.697,0.031,0.024,-0.055,36.67
0.03,993.35,-0.824,0.445,9.720,0.032,0.024,-0.056,36.69
0.06,993.35,-0.814,0.445,9.768,0.034,0.023,-0.056,36.68
0.04,993.35,-0.800,0.450,9.773,0.033,0.023,-0.056,36.71
0.01,993.36,-0.814,0.421,9.811,0.032,0.021,-0.057,36.70
-0.01,993.36,-0.862,0.479,9.749,0.033,0.023,-0.056,36.70
0.01,993.36,-0.862,0.469,9.778,0.030,0.024,-0.056,36.69
0.02,993.35,-0.833,0.479,9.764,0.031,0.022,-0.058,36.71
0.01,993.36,-0.819,0.445,9.740,0.030,0.023,-0.055,36.70
0.02,993.35,-0.824,0.460,9.716,0.031,0.024,-0.057,36.69
0.02,993.35,-0.857,0.484,9.735,0.032,0.022,-0.055,36.68
0.01,993.36,-0.809,0.455,9.740,0.030,0.023,-0.055,36.70
-0.00,993.36,-0.843,0.498,9.759,0.034,0.023,-0.057,36.69
0.03,993.35,-0.795,0.460,9.778,0.031,0.022,-0.056,36.69
0.02,993.35,-0.814,0.450,9.749,0.030,0.024,-0.056,36.69
0.07,993.35,-0.804,0.460,9.778,0.029,0.023,-0.056,36.71
-0.04,993.36,-0.824,0.455,9.697,0.031,0.023,-0.057,36.70
-0.00,993.36,-0.809,0.474,9.783,0.032,0.023,-0.058,36.72
-0.01,993.36,-0.838,0.431,9.749,0.030,0.022,-0.056,36.70
